Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
Per Game PN/AVG,5.3,5.2,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes Per Game PIM/AVG,13.2,13.4,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor,188,182,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major,3,5,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Minute Misconduct 10 Min. Mis.,8,8,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Misconduct Game Mis.,2,4,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Misconduct Gross Mis.,0,0,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Misconduct Match Mis.,0,0,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faceoffs,Faceoffs,Faceoffs,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won-Lost FW-FL,1175-1164,1164-1175,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage FWP,.502,.498,2025-26,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,"Bottrill, Ryan Bottrill, Ryan",38.0,9.0,27.0,36.0,64.0,0.141,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,10-20,10.0,0.0,0.0,10.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,"Van Steensel, Owen Van Steensel, Owen",38.0,12.0,13.0,25.0,82.0,0.146,-4.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,10-20,10.0,0.0,0.0,17.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,"Gelinas, Remi Gelinas, Remi",38.0,8.0,13.0,21.0,58.0,0.138,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10-28,9.0,0.0,1.0,12.0,,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,"Bargholtz, Erik Bargholtz, Erik",38.0,8.0,12.0,20.0,55.0,0.145,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9-26,8.0,0.0,1.0,19.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,"Mangan, Jared Mangan, Jared",38.0,8.0,12.0,20.0,61.0,0.131,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,7-14,7.0,0.0,0.0,15.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,"Cote, Justin Cote, Justin",38.0,11.0,8.0,19.0,69.0,0.159,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5-10,5.0,0.0,0.0,9.0,,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"Taylor, Tate Taylor, Tate",37.0,8.0,11.0,19.0,77.0,0.104,-3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7-14,7.0,0.0,0.0,54.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,"Sigurdson, Talon Sigurdson, Talon",38.0,8.0,10.0,18.0,91.0,0.088,-4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8-16,8.0,0.0,0.0,36.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,"Sukovic, Luka Sukovic, Luka",36.0,3.0,14.0,17.0,52.0,0.058,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14-50,10.0,2.0,1.0,14.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
