Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
ASSISTS,,,2025-26,Table_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,"Lessard, Etienne - Union (NY) (2/07/26)",,,,,,,,,,,,,,,,
SHOTS,,,2025-26,Table_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,"Wiebusch, JJ - Penn State (10/09/25)",,,,,,,,,,,,,,,,
POWER PLAY GOALS,,,2025-26,Table_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,"Wiebusch, JJ - Penn State (10/09/25); Svartstrom, Rasmus - St. Lawrence (1/24/26)",,,,,,,,,,,,,,,,
SAVES,,,2025-26,Table_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,"Smith, Cameron - St. Lawrence (1/24/26)",,,,,,,,,,,,,,,,
PENALTIES,,,2025-26,Table_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,"Wagnon, Zach - Yale (2/20/26); Stanley, Hoyt - Cornell (2/28/26)",,,,,,,,,,,,,,,,
PENALTY MINUTES,,,2025-26,Table_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,"Stanley, Hoyt - Cornell (2/28/26)",,,,,,,,,,,,,,,,
,,,2025-26,Table_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,
,,,2025-26,Table_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,
Shots,Shots,Shots,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals-Shots G-S,121-1068,87-958,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals Per Game G/AVG,3.1,2.2,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shot Percentage S%,.113,.091,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shots Per Game S/AVG,27.4,24.6,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists A,203,141,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saves SV,855,930,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Plays,Power Plays,Power Plays,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goals-Opportunities PPG-OPP,29-113,16-119,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversion Percentage PPG%,.257,.134,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goal Breakdown,Goal Breakdown,Goal Breakdown,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total G,121,87,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Play PPG,29,16,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Handed SHG,6,3,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty Net ENG,14,5,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unassisted UAG,5,9,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overtime OTG,4,3,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Tricks HT,1,1,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penalties,Penalties,Penalties,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total PN,141,136,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes PIM,307,327,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Game PN/AVG,3.6,3.5,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes Per Game PIM/AVG,7.9,8.4,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor,136,126,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major,3,5,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Minute Misconduct 10 Min. Mis.,0,0,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Misconduct Game Mis.,2,5,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Misconduct Gross Mis.,0,0,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Misconduct Match Mis.,0,0,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faceoffs,Faceoffs,Faceoffs,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won-Lost FW-FL,1143-1201,1201-1143,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage FWP,.488,.512,2024-25,Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,"Martino, Ayrton Martino, Ayrton",39.0,25.0,26.0,51.0,83.0,0.301,11.0,3.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,4-8,4.0,0.0,0.0,7.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,"Rickwood, Ellis Rickwood, Ellis",39.0,10.0,25.0,35.0,81.0,0.123,16.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,11-22,11.0,0.0,0.0,16.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,"Richardson, Ryan Richardson, Ryan",38.0,11.0,19.0,30.0,86.0,0.128,15.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8-16,8.0,0.0,0.0,18.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,"Taylor, Trey Taylor, Trey",39.0,9.0,20.0,29.0,105.0,0.086,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6-12,6.0,0.0,0.0,72.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,"Sarsland, Tristan Sarsland, Tristan",39.0,8.0,15.0,23.0,96.0,0.083,14.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,8-16,8.0,0.0,0.0,71.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,"Bottrill, Ryan Bottrill, Ryan",39.0,8.0,11.0,19.0,56.0,0.143,5.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,13-26,13.0,0.0,0.0,7.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,"Sigurdson, Talon Sigurdson, Talon",39.0,10.0,8.0,18.0,66.0,0.152,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,9-21,8.0,1.0,0.0,26.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,"Sukovic, Luka Sukovic, Luka",36.0,7.0,9.0,16.0,51.0,0.137,7.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,8-16,8.0,0.0,0.0,14.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"Taylor, Tate Taylor, Tate",33.0,3.0,13.0,16.0,51.0,0.059,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,34.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,"Dahm, Garrett Dahm, Garrett",38.0,6.0,8.0,14.0,34.0,0.176,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,6-12,6.0,0.0,0.0,14.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,"Bargholtz, Erik Bargholtz, Erik",39.0,6.0,7.0,13.0,49.0,0.122,-2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,6-12,6.0,0.0,0.0,11.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,"Mangan, Jared Mangan, Jared",38.0,6.0,5.0,11.0,69.0,0.087,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5-10,5.0,0.0,0.0,13.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,"Taylor, Ryan Taylor, Ryan",31.0,3.0,7.0,10.0,52.0,0.058,-9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,13.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,44,"Brassington, Ty Brassington, Ty",38.0,2.0,5.0,7.0,45.0,0.044,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,32.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,"Pakulak, Luke Pakulak, Luke",30.0,2.0,5.0,7.0,14.0,0.143,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,14.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Taylor, Kaelan Taylor, Kaelan",39.0,1.0,6.0,7.0,31.0,0.032,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,50.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,"Fust, Ray Fust, Ray",19.0,2.0,2.0,4.0,17.0,0.118,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,13.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,"O'Donnell, Shawn O'Donnell, Shawn",39.0,1.0,3.0,4.0,20.0,0.05,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8-16,8.0,0.0,0.0,19.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,"Sparkes, Jack Sparkes, Jack",32.0,0.0,4.0,4.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9-29,7.0,1.0,1.0,26.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,"Egan, Brady Egan, Brady",9.0,0.0,2.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,3.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,"Rose, Carter Rose, Carter",25.0,0.0,2.0,2.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,10.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,"Sparkes, Jack Sparkes, Jack",6.0,1.0,0.0,1.0,4.0,0.25,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5-21,3.0,1.0,1.0,11.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,"Langenegger, Ethan Langenegger, Ethan",35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Brännman, Marcus Brännman, Marcus",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,0.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,"Grannis, George Grannis, George",2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,12,"Lewandowski, Caden Lewandowski, Caden",2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,1.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,"Moberg, Oliver Moberg, Oliver",13.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3-6,3.0,0.0,0.0,7.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,"Parker, Brady Parker, Brady",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Team,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,0.0,,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,39.0,121.0,203.0,324.0,1067.0,0.113,92.0,29.0,6.0,22.0,24.0,2.0,4.0,1.0,5.0,141-307,136.0,3.0,2.0,502.0,,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,39.0,87.0,141.0,228.0,958.0,0.091,-115.0,16.0,3.0,15.0,12.0,1.0,3.0,1.0,9.0,136-327,126.0,5.0,5.0,496.0,,2024-25,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,"Langenegger, Ethan Langenegger, Ethan",,,,,,,,14.0,3.0,,,,,,,,,,,,View Bio,2024-25,Table_2,35-35,2073:53,74.0,2.14,0.0,786.0,0.914,22.0,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Brännman, Marcus Brännman, Marcus",,,,,,,,1.0,0.0,,,,,,,,,,,,View Bio,2024-25,Table_2,5-4,269:19,7.0,1.56,0.0,79.0,0.919,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,"Parker, Brady Parker, Brady",,,,,,,,1.0,0.0,,,,,,,,,,,,View Bio,2024-25,Table_2,1-0,20:34,1.0,2.92,0.0,6.0,0.857,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Empty Net,,,,,,,,0.0,0.0,,,,,,,,,,,,,2024-25,Table_2,39-0,19:00,5.0,15.79,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,,,,,,,,16.0,3.0,,,,,,,,,,,,,2024-25,Table_2,39,2382:46,87.0,2.19,5.0,871.0,0.909,24.0,12.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,,,,,,,,29.0,6.0,,,,,,,,,,,,,2024-25,Table_2,39,2382:46,121.0,3.4,14.0,947.0,0.875,12.0,24.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,"Martino, Ayrton Martino, Ayrton",22.0,21.0,17.0,38.0,55.0,0.382,18.0,2.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,4-8,4.0,0.0,0.0,2.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,"Rickwood, Ellis Rickwood, Ellis",22.0,6.0,18.0,24.0,47.0,0.128,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4-8,4.0,0.0,0.0,9.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,"Sarsland, Tristan Sarsland, Tristan",22.0,6.0,12.0,18.0,54.0,0.111,13.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,5-10,5.0,0.0,0.0,37.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,"Taylor, Trey Taylor, Trey",22.0,6.0,12.0,18.0,51.0,0.118,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,38.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,"Richardson, Ryan Richardson, Ryan",22.0,5.0,13.0,18.0,53.0,0.094,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,10.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,"Sigurdson, Talon Sigurdson, Talon",22.0,7.0,7.0,14.0,44.0,0.159,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7-17,6.0,1.0,0.0,16.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,"Sukovic, Luka Sukovic, Luka",22.0,6.0,4.0,10.0,36.0,0.167,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5-10,5.0,0.0,0.0,9.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,"Taylor, Tate Taylor, Tate",22.0,2.0,8.0,10.0,37.0,0.054,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,22.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,"Bargholtz, Erik Bargholtz, Erik",22.0,4.0,4.0,8.0,26.0,0.154,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4-8,4.0,0.0,0.0,5.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,"Bottrill, Ryan Bottrill, Ryan",22.0,3.0,4.0,7.0,26.0,0.115,-1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,8-16,8.0,0.0,0.0,4.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,26,"Dahm, Garrett Dahm, Garrett",21.0,3.0,3.0,6.0,19.0,0.158,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2-4,2.0,0.0,0.0,8.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,"Mangan, Jared Mangan, Jared",21.0,2.0,2.0,4.0,41.0,0.049,-4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,9.0,View Bio,2024-25,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
